Depth profiles at each cell, TRIGRS, v. 2.1.00a
Finite-depth no-flow boundary
Cell Number, Slope angle, Step#, Time
Z         P      Pzero     Ptran      Pbeta       FS
cell            1  16.7           1   172800.00    
  0.0000       0.0000      -1.0761       1.2068       0.0000       10.000    
 0.20000      0.85364E-01 -0.93265       1.0180      0.14348       4.7403    
 0.40000      0.62390E-01 -0.78917      0.85156      0.28697       3.6022    
 0.60000      0.61392E-01 -0.64568      0.70707      0.43045       3.1813    
 0.80000      0.81827E-01 -0.50220      0.58402      0.57394       2.9405    
  1.0000      0.12302     -0.35871      0.48173      0.71742       2.7725    
  1.2000      0.18421     -0.21523      0.39943      0.86091       2.6416    
  1.4000      0.26464     -0.71742E-01  0.33638       1.0044       2.5326    
  1.6000      0.36364      0.71742E-01  0.29190       1.1479       2.4376    
  1.8000      0.48066      0.21523      0.26544       1.2914       2.3524    
  2.0000      0.61537      0.35871      0.25666       1.4348       2.2742    
cell            1  16.7           2   216000.00    
  0.0000       0.0000      -1.0761       1.3606       0.0000       10.000    
 0.20000      0.14348     -0.93265       1.1712      0.14348       4.4109    
 0.40000      0.21378     -0.78917       1.0029      0.28697       3.1733    
 0.60000      0.21001     -0.64568      0.85569      0.43045       2.9006    
 0.80000      0.22696     -0.50220      0.72916      0.57394       2.7349    
  1.0000      0.26428     -0.35871      0.62299      0.71742       2.6124    
  1.2000      0.32160     -0.21523      0.53683      0.86091       2.5119    
  1.4000      0.39855     -0.71742E-01  0.47029       1.0044       2.4242    
  1.6000      0.49478      0.71742E-01  0.42304       1.1479       2.3447    
  1.8000      0.61003      0.21523      0.39480       1.2914       2.2710    
  2.0000      0.74412      0.35871      0.38541       1.4348       2.2013    
cell            2  11.3           1   172800.00    
  0.0000       0.0000      -1.1424       1.1774       0.0000       10.000    
 0.20000     -0.12754E-02 -0.99009      0.98881      0.15232       7.6440    
 0.40000     -0.14928E-01 -0.83777      0.82284      0.30464       5.5741    
 0.60000     -0.63359E-02 -0.68544      0.67911      0.45696       4.8841    
 0.80000      0.23886E-01 -0.53312      0.55701      0.60928       4.4907    
  1.0000      0.74965E-01 -0.38080      0.45577      0.76161       4.2105    
  1.2000      0.14604     -0.22848      0.37452      0.91393       3.9966    
  1.4000      0.23626     -0.76161E-01  0.31242       1.0662       3.8217    
  1.6000      0.34485      0.76161E-01  0.26869       1.2186       3.6718    
  1.8000      0.47120      0.22848      0.24272       1.3709       3.5392    
  2.0000      0.61490      0.38080      0.23410       1.5232       3.4191    
cell            2  11.3           2   216000.00    
  0.0000       0.0000      -1.1424       1.3260       0.0000       10.000    
 0.20000      0.14659     -0.99009       1.1367      0.15232       6.4542    
 0.40000      0.13098     -0.83777      0.96875      0.30464       5.0425    
 0.60000      0.13653     -0.68544      0.82197      0.45696       4.5148    
 0.80000      0.16291     -0.53312      0.69604      0.60928       4.2086    
  1.0000      0.20974     -0.38080      0.59054      0.76161       3.9917    
  1.2000      0.27656     -0.22848      0.50504      0.91393       3.8200    
  1.4000      0.36295     -0.76161E-01  0.43911       1.0662       3.6748    
  1.6000      0.46849      0.76161E-01  0.39233       1.2186       3.5464    
  1.8000      0.59288      0.22848      0.36440       1.3709       3.4295    
  2.0000      0.73592      0.38080      0.35511       1.5232       3.3209    
cell            3  12.0           1   172800.00    
  0.0000       0.0000      -1.1352       1.1805       0.0000       10.000    
 0.20000      0.80893E-02 -0.98380      0.99189      0.15135       7.1436    
 0.40000     -0.65834E-02 -0.83245      0.82587      0.30271       5.2499    
 0.60000      0.95837E-03 -0.68110      0.68205      0.45406       4.5956    
 0.80000      0.30109E-01 -0.52974      0.55985      0.60542       4.2143    
  1.0000      0.80104E-01 -0.37839      0.45849      0.75677       3.9536    
  1.2000      0.15010     -0.22703      0.37713      0.90813       3.7543    
  1.4000      0.23925     -0.75677E-01  0.31492       1.0595       3.5909    
  1.6000      0.34679      0.75677E-01  0.27111       1.2108       3.4507    
  1.8000      0.47211      0.22703      0.24508       1.3622       3.3265    
  2.0000      0.61483      0.37839      0.23645       1.5135       3.2139    
cell            3  12.0           2   216000.00    
  0.0000       0.0000      -1.1352       1.3296       0.0000       10.000    
 0.20000      0.15135     -0.98380       1.1403      0.15135       6.0449    
 0.40000      0.13990     -0.83245      0.97235      0.30271       4.7135    
 0.60000      0.14443     -0.68110      0.82552      0.45406       4.2288    
 0.80000      0.16977     -0.52974      0.69952      0.60542       3.9466    
  1.0000      0.21556     -0.37839      0.59394      0.75677       3.7459    
  1.2000      0.28134     -0.22703      0.50837      0.90813       3.5865    
  1.4000      0.36669     -0.75677E-01  0.44237       1.0595       3.4513    
  1.6000      0.47121      0.75677E-01  0.39554       1.2108       3.3314    
  1.8000      0.59460      0.22703      0.36757       1.3622       3.2222    
  2.0000      0.73666      0.37839      0.35827       1.5135       3.1204    
cell            4  15.8           1   172800.00    
  0.0000       0.0000      -1.0888       1.2010       0.0000       10.000    
 0.20000      0.68631E-01 -0.94362       1.0123      0.14517       5.1021    
 0.40000      0.47437E-01 -0.79845      0.84589      0.29035       3.8514    
 0.60000      0.48268E-01 -0.65328      0.70155      0.43552       3.3908    
 0.80000      0.70571E-01 -0.50810      0.57868      0.58069       3.1285    
  1.0000      0.11365     -0.36293      0.47658      0.72586       2.9464    
  1.2000      0.17672     -0.21776      0.39448      0.87104       2.8052    
  1.4000      0.25902     -0.72586E-01  0.33161       1.0162       2.6880    
  1.6000      0.35985      0.72586E-01  0.28727       1.1614       2.5862    
  1.8000      0.47866      0.21776      0.26090       1.3066       2.4952    
  2.0000      0.61508      0.36293      0.25215       1.4517       2.4120    
cell            4  15.8           2   216000.00    
  0.0000       0.0000      -1.0888       1.3537       0.0000       10.000    
 0.20000      0.14517     -0.94362       1.1644      0.14517       4.6465    
 0.40000      0.19773     -0.79845      0.99618      0.29035       3.4040    
 0.60000      0.19574     -0.65328      0.84902      0.43552       3.0981    
 0.80000      0.21449     -0.50810      0.72259      0.58069       2.9143    
  1.0000      0.25362     -0.36293      0.61655      0.72586       2.7798    
  1.2000      0.31276     -0.21776      0.53051      0.87104       2.6702    
  1.4000      0.39150     -0.72586E-01  0.46409       1.0162       2.5753    
  1.6000      0.48951      0.72586E-01  0.41692       1.1614       2.4898    
  1.8000      0.60650      0.21776      0.38874       1.3066       2.4107    
  2.0000      0.74230      0.36293      0.37937       1.4517       2.3362    
cell            5  16.7           1   172800.00    
  0.0000       0.0000      -1.0761       1.2068       0.0000       10.000    
 0.20000      0.85364E-01 -0.93265       1.0180      0.14348       4.7403    
